State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
Alabama,2021,1.58,42.14,72.3,17.7,99.3,2.79,49.25,42.76,13.14,38.14,12.51,12.2,58.78,462.6,,16.40,149.80,649.30,125.00,191.60,69.31,169.80,387.30,37.84,120.70,72.29,31.06,179.50,2200.00,,10.40,3.56,8.98,7.07,1.93,24.85,3.45,9.06,2.88,3.17,5.78,2.55,3.05,4.76,,36.1,14.5,29.3,247.5,75.55,37.71,50054,17.2
Alabama,2022,1.58,41.15,71.71,17.52,97.94,2.55,47.8,43.2,11.66,43.06,12.68,11.32,58.77,460.9,,17.55,159.20,703.50,132.20,209.70,73.27,181.90,443.30,39.39,145.80,78.41,31.80,200.70,2417.00,,11.13,3.87,9.81,7.55,2.14,28.76,3.81,10.26,3.38,3.39,6.19,2.81,3.42,5.24,,36.3,12.2,30.8,234.2,74.84,38.44,50920,15.6
Alabama,2023,1.56,42,72.13,17.59,99.03,2.68,47.77,43.81,12.37,45.03,12.7,12.38,58.89,467.9,,17.82,166.10,723.00,136.90,216.80,78.74,187.60,463.30,42.16,156.70,80.72,34.12,205.70,2510.00,,11.43,3.96,10.02,7.78,2.19,29.41,3.93,10.58,3.41,3.48,6.36,2.76,3.49,5.36,,39.3,13.0,27.8,,74.84,39.2,53175,
Alaska,2021,1.42,45.33,77.76,17.26,131.7,2.97,39.23,45.6,10.01,34.25,11.24,8.06,39.02,463.9,,14.77,166.30,720.80,133.00,267.00,74.60,210.20,416.80,42.60,108.70,65.09,26.68,226.40,2473.00,,10.43,3.67,9.27,7.71,2.03,25.08,5.36,9.14,3.71,3.17,5.79,3.31,5.80,5.33,,31.9,8.3,19.3,154.7,79.03,40.58,65596,17.1
Alaska,2022,1.38,44.7,77.9,17.3,134,2.71,37.39,45.91,9.27,37.54,11.05,7.61,37.23,464,,15.18,176.50,780.00,137.60,286.10,73.52,223.60,444.80,41.43,126.20,67.84,27.54,243.90,2644.00,,11.04,3.95,10.01,7.95,2.13,27.16,5.98,9.69,4.02,3.36,6.14,3.62,6.55,5.70,,30.7,7.1,21.6,145.7,78.62,40.73,68664,15.9
Alaska,2023,1.35,45.37,77.91,17.37,134.1,2.83,36.9,46.25,9.76,38.88,10.96,8.3,36.87,466.8,,15.31,182.70,795.30,141.80,294.10,77.99,227.90,459.00,43.79,134.70,69.37,29.60,247.10,2719.00,,11.38,4.03,10.21,8.16,2.19,27.59,6.18,9.92,4.07,3.46,6.33,3.57,6.70,5.82,,31.8,7.4,21.1,,78.62,40.91,71616,
Arizona,2021,1.66,42.08,72.18,13.57,105.8,2.93,40.22,44.92,8.38,40.13,13.17,6.03,69.35,460.4,,14.84,147.60,639.70,101.20,199.00,60.51,176.60,338.10,31.10,109.30,65.43,19.77,187.20,2090.00,,8.95,3.51,8.86,7.46,1.88,20.65,4.39,7.53,2.87,2.72,4.97,3.28,2.70,4.54,,27.9,9.6,21.2,158.3,79.99,40.49,56361,13.1
Arizona,2022,1.6,41.38,72.11,13.37,104.7,2.65,39.6,44.96,7.5,43.61,12.84,5.77,68.28,458.4,,15.51,152.80,675.20,112.20,211.10,60.69,190.20,367.20,30.12,129.00,69.33,20.48,200.60,2234.00,,9.72,3.69,9.36,8.39,2.02,22.89,4.80,8.17,3.37,2.96,5.40,3.55,2.94,4.87,,31.9,9.8,23.6,148.5,79.06,42.5,58390,12.7
Arizona,2023,1.59,41.52,71.3,13.29,104.3,2.77,39.63,45.37,7.83,46.06,12.99,6.31,68.87,461.8,,15.73,158.50,690.00,115.20,218.40,64.61,197.10,380.20,31.86,138.30,71.25,22.07,205.70,2309.00,,9.87,3.82,9.68,8.67,2.10,23.30,4.97,8.38,3.37,3.00,5.49,3.50,2.99,5.00,,31.5,9.7,21.6,,79.06,43.9,61652,
Arkansas,2021,1.56,43.66,74.9,16.79,117.4,3,43.98,46.04,13.57,37.76,12.39,13.02,71.19,495.3,,15.99,146.80,636.10,116.60,202.80,70.12,151.60,391.80,38.89,117.70,70.47,32.46,185.40,2177.00,,10.24,3.36,8.49,6.94,1.73,23.35,3.45,8.51,4.46,3.12,5.69,2.49,2.61,4.39,,35.0,13.5,30.4,231,76.05,33.7,51631,21.1
Arkansas,2022,1.48,43.05,75.03,16.48,117.3,2.74,41.53,46.43,12.09,40.48,11.92,12.06,71.7,492.3,,16.72,156.70,692.40,126.70,223.10,69.39,160.70,419.80,40.69,139.00,74.72,33.75,199.30,2353.00,,11.28,3.64,9.23,7.69,1.90,25.34,3.87,9.04,4.77,3.43,6.27,2.80,2.78,4.78,,38.0,12.1,30.4,224.1,75.49,34.85,52604,18.7
Arkansas,2023,1.48,43.92,75.43,16.58,119.2,2.88,41.45,47.17,12.89,42.74,12.05,13.12,71.14,500.1,,17.03,163.60,712.20,131.90,231.30,74.80,163.80,440.20,43.39,149.80,77.15,36.52,205.70,2447.00,,11.51,3.73,9.44,7.96,1.94,25.95,3.95,9.33,4.83,3.50,6.40,2.78,2.89,4.89,,37.2,11.7,28.8,,75.49,35.2,54347,
California,2021,1.19,32.03,54.94,9.66,72.29,1.91,30.22,29.29,5.81,28.79,9.45,4.12,45.29,325,,11.66,122.50,530.70,78.89,170.30,47.36,160.80,264.60,25.91,85.87,51.41,15.72,160.00,1726.00,,9.80,3.82,9.66,8.17,2.36,24.79,5.32,9.03,4.20,2.98,5.44,3.82,3.53,5.31,,24.3,8.8,17.7,147.8,81.68,44.28,76987,8.8
California,2022,1.2,31.57,55.03,9.68,71.33,1.68,30.62,28.47,5.2,32.75,9.64,3.85,44.3,325.3,,12.73,125.30,553.90,84.24,183.10,47.13,171.90,285.20,24.79,105.80,56.88,16.30,169.70,1837.00,,10.61,3.97,10.07,8.70,2.57,28.08,5.61,10.02,4.40,3.23,5.90,4.24,3.83,5.65,,26.2,9.4,22.3,142.4,81.01,45.23,77013,9.7
California,2023,1.22,32.61,56.01,9.89,73.08,1.8,31.02,29.49,5.65,35.25,9.94,4.35,46.04,336.3,,13.26,133.90,582.80,88.45,193.30,51.60,180.10,303.60,27.26,116.60,60.05,18.10,179.20,1948.00,,10.87,4.11,10.41,8.94,2.65,28.63,5.81,10.30,4.40,3.31,6.04,4.17,3.89,5.79,,30.2,9.2,21.1,,81.01,45.92,80423,
Colorado,2021,1.45,45.43,77.93,15.3,115.4,3,40.26,45.93,9.6,35,11.48,7.7,72.68,481.2,,15.60,173.90,753.60,119.50,258.40,72.31,233.00,404.00,40.27,114.90,68.79,26.68,240.60,2522.00,,10.79,3.83,9.67,7.81,2.24,24.14,5.79,8.80,4.21,3.28,5.99,3.47,3.31,5.24,,22.4,6.6,14.8,135.1,80.61,53.47,71920,12
Colorado,2022,1.48,43.76,76.27,14.98,113.2,2.73,38.67,46.28,8.8,40.35,11.88,7.08,71.71,477.2,,16.82,175.50,775.70,124.40,272.80,70.61,243.40,427.20,38.73,139.80,75.15,27.53,253.90,2642.00,,11.38,4.01,10.17,8.30,2.41,25.88,6.30,9.23,4.58,3.46,6.33,3.89,3.54,5.54,,23.6,6.6,18.7,131.4,79.98,54.94,75708,10.7
Colorado,2023,1.48,45.15,77.54,15.15,115,2.91,38.85,47.59,9.45,42.71,12.04,7.87,71.85,487.6,,17.25,184.90,804.90,129.10,285.50,76.15,252.80,448.10,41.55,151.70,78.16,30.06,263.30,2763.00,,11.67,4.10,10.38,8.52,2.48,26.19,6.51,9.42,4.59,3.55,6.49,3.82,3.67,5.67,,24.2,7.0,16.5,,79.98,56.7,78918,
Connecticut,2021,1.14,41.61,71.37,11.98,92.49,2.52,40.03,38.65,9.49,27.61,9.06,6.68,55.52,408.1,,12.99,172.30,746.80,99.95,245.60,68.62,222.10,383.40,39.95,95.61,57.24,22.87,226.80,2394.00,,11.38,4.14,10.46,8.35,2.66,27.22,5.55,9.92,3.86,3.46,6.32,3.42,4.09,5.87,,26.3,9.2,19.9,136.7,80.87,50.72,81131,11.1
Connecticut,2022,1.13,40.73,70.98,11.96,92.35,2.29,40.06,38.83,8.37,30.95,9.11,6.38,55.16,408.3,,13.86,180.80,799.00,108.30,252.00,66.52,228.90,402.40,38.30,115.20,61.92,23.81,239.90,2531.00,,12.23,4.44,11.26,9.05,2.73,29.05,5.71,10.36,4.24,3.72,6.8,3.74,4.35,6.2,,29.1,8.2,23.3,137.8,80.11,51.9,83340,10
Connecticut,2023,1.13,41.48,71.24,12,93.45,2.43,40.07,39.74,8.9,32.51,9.17,7.06,55.34,414.5,,14.17,190.50,829.10,111.80,261.60,71.73,235.80,422.10,40.85,124.60,64.17,26.11,246.30,2639.00,,12.59,4.59,11.64,9.32,2.80,29.53,5.89,10.62,4.26,3.83,7,3.7,4.45,6.37,,29.5,8.2,20.2,,80.11,53.1,87447,
Delaware,2021,1.48,44.81,76.88,15.91,109.9,2.96,48.91,45.31,11.15,35.67,11.71,9.15,60.69,474.5,,16.76,181.00,784.50,125.50,251.10,79.10,225.80,442.00,43.25,123.40,73.88,28.54,221.60,2596.00,,11.37,4.04,10.20,7.89,2.29,26.76,4.62,9.75,3.06,3.46,6.31,3.12,3.65,5.47,,32.4,11.8,27.3,162.7,78.47,44.79,58885,13.4
Delaware,2022,1.42,43.15,75.2,15.81,107.9,2.68,48.7,45.48,9.81,38.8,11.42,8.57,59.68,468.6,,17.53,189.80,838.70,137.20,257.90,79.97,236.00,483.80,43.49,145.70,78.32,29.35,234.70,2772.00,,12.34,4.40,11.15,8.68,2.39,29.82,4.85,10.64,3.63,3.75,6.86,3.42,3.93,5.92,,34.2,10.9,25.3,156.8,78.01,45.68,63177,12.9
Delaware,2023,1.38,43.1,74.01,15.56,107.1,2.8,47.44,45.81,10.26,39.91,11.25,9.28,58.74,466.7,,17.61,195.20,849.80,138.90,262.50,84.93,239.10,499.80,45.97,154.80,79.75,31.47,237.20,2837.00,,12.74,4.53,11.48,8.93,2.45,30.34,5.04,10.91,3.68,3.88,7.09,3.39,4.04,6.08,,36.2,10.5,23.6,,78.01,46.62,65392,
District of Columbia,2021,4.38,129.2,221.6,47.52,306,9.05,144.8,138.7,33.06,105.8,34.72,28.35,190.2,1393,,0.05,0.53,2.3,0.37,0.68,0.23,0.67,1.31,0.12,0.37,0.22,0.09,0.67,7.62,,11.5,4.11,10.39,7.69,2.23,25.81,4.64,9.41,3.72,3.5,6.39,3.08,3.53,5.47,,24.0,8.1,17.4,,79.02,67.66,97462,9.5
District of Columbia,2022,4.21,124.6,217.1,47.31,299.9,8.22,144.3,139.4,29.12,114.9,33.84,26.4,187.4,1377,,0.05,0.56,2.46,0.4,0.72,0.23,0.71,1.37,0.13,0.43,0.23,0.09,0.71,8.09,,12.4,4.47,11.33,8.54,2.41,27.62,4.91,9.85,4.25,3.77,6.89,3.39,3.79,5.88,,27.5,9.8,19.9,182.6,78.04,70.59,96092,10.6
District of Columbia,2023,4.15,126.8,217.8,47.35,302.4,8.69,142.8,142.1,30.98,119.8,33.79,28.94,187,1393,,0.05,0.58,2.54,0.42,0.75,0.24,0.72,1.44,0.14,0.47,0.24,0.1,0.73,8.42,,12.86,4.6,11.66,8.78,2.47,28.16,5.06,10.13,4.28,3.91,7.15,3.36,3.90,6.05,,24.2,8.1,17.2,,78.04,71.87,100909,
Florida,2021,1.32,44.69,76.65,13.05,91.38,2.67,46.32,40.88,10.25,31.84,10.45,8.39,55.7,433.6,,14.37,155.9,675.7,109.1,217.6,68.32,213.7,381.7,39.6,105.8,63.33,25.73,199.7,2270,,10.91,3.49,8.82,8.36,2.38,25.62,4.61,9.34,3.38,3.32,6.06,3.07,3.59,5.24,,27.2,10.8,25.8,151.3,80.17,43.51,63071,
Florida,2022,1.34,47.65,83.05,13.22,91.89,2.49,45.94,42.26,9.39,36.52,10.75,7.99,56.15,448.6,,15.64,163.9,724.3,117.3,241,68.55,227.8,414.8,39.82,130,69.9,28.43,214.6,2456,,11.7,3.44,8.72,8.87,2.62,27.51,4.96,9.82,3.95,3.56,6.50,3.56,3.82,5.47,,26.3,9.4,25.9,140.9,79.69,45.45,64804,11.3
Florida,2023,1.33,48.02,82.47,13.29,92.59,2.64,45.54,43.16,10.07,38.31,10.8,8.83,56.46,453.5,,15.86,171,744.3,121,248.8,73.73,234.2,433.8,42.88,139.5,71.84,30.94,219.9,2548,,11.96,3.56,9.03,9.11,2.69,27.95,5.14,10.05,3.97,3.64,6.65,3.50,3.89,5.62,,28.3,9.5,25.8,,79.69,46.34,68248,
Georgia,2021,1.66,43.59,74.77,16.48,101,2.94,53.61,45.12,13.3,40.06,13.15,11.42,59.28,476.4,,17.46,158.3,686,119.6,198.7,71.42,195.7,399,40.75,128.5,76.96,32.01,196.9,2321,,10.54,3.63,9.18,7.25,1.97,24.27,3.65,8.84,3.64,3.21,5.85,2.80,3.32,4.87,,32.3,12.0,26.4,195.2,77.94,43.63,56172,15
Georgia,2022,1.68,42.48,74.04,16.63,99.5,2.7,53.5,45.86,11.9,45.78,13.48,10.41,59.37,477.3,,18.72,170.1,751.7,129.9,216.4,73.02,210.8,441.8,43.19,155.6,83.64,32.55,210,2537,,11.17,4,10.15,7.81,2.17,27,3.94,9.63,3.92,3.40,6.21,3.13,3.54,5.32,,33.4,11.1,27.4,183.9,77.31,45.12,56588,12.5
Georgia,2023,1.67,43.76,75.15,16.8,101.2,2.87,53.97,47.03,12.76,48.3,13.62,11.42,59.83,488.3,,19.27,179.6,781.7,135.5,228.9,79.41,218.9,467.3,46.94,169.4,87.28,35.77,218.2,2668,,11.52,4.11,10.4,8.07,2.26,27.63,4.06,9.94,3.98,3.51,6.41,3.13,3.65,5.46,,34.3,10.6,24.5,,77.31,46.7,58581,
Hawaii,2021,1,29.92,51.32,5.51,39.03,2.04,31.04,31.31,3.6,24.23,7.95,5.9,17.01,249.9,,11.18,117.6,509.8,86.34,169.1,53.29,154.2,297.7,29.02,82.29,49.27,19.24,155.3,1734,,11.16,3.93,9.93,15.68,4.33,26.10,4.97,9.51,3.43,3.40,6.20,3.26,9.13,6.94,,24.6,11.1,19.6,126.5,82.28,47.08,61481,10.1
Hawaii,2022,0.97,29.24,50.97,5.46,38.58,1.85,30.79,31.39,3.26,26.51,7.81,5.58,16.79,249.2,,11.8,123.8,547,94.14,179.6,52.17,162,315.6,28.18,98.07,52.72,19.89,165.9,1851,,12.15,4.23,10.73,17.24,4.66,28.18,5.26,10.05,3.93,3.70,6.76,3.56,9.88,7.43,,25.5,9.3,23.9,128.4,82.26,48.17,61813,10
Hawaii,2023,0.96,30.03,51.57,5.53,39.15,1.97,30.73,32.25,3.49,27.85,7.85,6.17,16.9,254.5,,12.12,130.4,567.4,97.87,187.1,56.46,167.2,332.3,30.34,106.6,54.91,21.93,171.9,1936,,12.57,4.34,11,17.71,4.78,28.65,5.44,10.30,3.95,3.83,6.99,3.55,10.17,7.61,,25.0,9.4,18.4,,82.26,49.42,65151,
Idaho,2021,1.92,62.2,106.7,22.11,180,3.9,55.07,59.85,11.07,46.47,15.25,9.57,93.95,668,,20.74,228.80,991.70,168.20,359.40,87.10,306.80,486.70,50.56,152.70,91.44,33.63,314.70,3293.00,,10.80,3.68,9.29,7.61,2.00,22.31,5.57,8.13,3.12,3.29,6.00,3.52,3.35,4.93,,29.0,9.3,20.4,166.4,79.44,41.07,54141,13.3
Idaho,2022,1.85,60.08,104.7,21.43,174.6,3.49,52.49,59.15,9.99,50.62,14.9,8.79,89.85,651.9,,21.91,232.00,1025.00,173.40,384.40,85.79,316.60,519.10,47.95,182.10,97.89,34.11,329.60,3450.00,,11.82,3.86,9.79,8.09,2.20,24.60,6.03,8.78,3.62,3.60,6.57,3.88,3.67,5.29,,29.5,9.2,23.3,156.3,79.19,42.03,56615,11.9
Idaho,2023,1.82,61.89,106.3,21.69,176.8,3.72,52.5,60.79,10.7,52.59,14.83,9.77,91.4,664.8,,22.54,245.20,1067.00,180.70,402.10,93.01,329.90,547.30,51.67,198.20,102.10,37.55,343.90,3622.00,,12.39,3.96,10.04,8.33,2.27,25.04,6.28,9.00,3.65,3.77,6.89,3.84,3.76,5.45,,31.3,7.9,19.7,,79.19,43.22,59035,
Illinois,2021,1.26,34.64,59.43,12.54,91.14,2.23,36.42,34.11,8.15,30.43,9.99,6.17,50.65,377.1,,12.92,130.20,564.50,97.43,178.90,52.80,156.80,295.00,30.32,95.14,56.96,19.42,155.60,1846.00,,10.27,3.76,9.50,7.77,1.96,23.73,4.31,8.65,2.72,3.13,5.71,3.15,3.07,4.89,,29.7,9.9,21.6,169.8,79.38,47.79,67258,12
Illinois,2022,1.24,33.13,57.73,12.52,92.75,2.01,36.38,34.03,7.25,33.85,9.97,5.74,50,376.6,,13.81,138.80,613.30,106.40,194.40,52.34,165.40,316.60,30.79,114.80,61.71,19.91,167.00,1995.00,,11.14,4.19,10.62,8.50,2.10,26.08,4.55,9.31,3.22,3.39,6.19,3.47,3.34,5.30,,31.5,10.0,25.1,166.6,78.82,48.79,67653,12.4
Illinois,2023,1.23,34.13,58.61,12.63,93.95,2.15,36.56,35.15,7.81,35.61,10.04,6.36,50.24,384.5,,14.19,146.80,639.20,110.50,203.50,56.83,170.50,334.40,33.41,124.80,64.30,21.87,173.40,2094.00,,11.52,4.30,10.90,8.74,2.17,26.45,4.66,9.51,3.23,3.51,6.40,3.44,3.45,5.45,,32.5,9.3,24.4,,78.82,48.67,70953,
Indiana,2021,1.4,40.03,68.66,15.97,121.6,2.66,40.97,40.76,9.76,33.89,11.12,8.6,69.56,465,,14.63,140.80,610.30,113.50,206.20,62.33,156.00,348.30,33.00,107.70,64.50,23.4,175.2,2056,,10.45,3.52,8.89,7.11,1.70,23.45,3.81,8.55,4.71,3.18,5.80,2.72,2.52,4.42,,33.9,12.1,26.7,191.2,77.11,39.88,56931,17.3
Indiana,2022,1.38,38.77,67.56,15.76,122.5,2.44,39.29,41.33,8.64,37.61,11.07,7.95,70.77,465.1,,15.81,152.90,675.70,118.90,227.50,62.57,168.20,378.50,34.11,131.40,70.64,23.93,188.9,2249,,11.48,3.94,10.00,7.55,1.86,25.67,4.28,9.16,4.97,3.49,6.38,3.01,2.67,4.84,,35.4,11.1,30.6,185,76.51,41.38,58329,16.2
Indiana,2023,1.37,39.87,68.47,15.96,124.2,2.59,39.65,42.3,9.27,39.49,11.14,8.76,69.85,473,,16.25,160.50,698.60,123.90,237.70,67.55,173.60,397.50,36.84,142.90,73.61,26.15,195.2,2350,,11.89,4.03,10.20,7.76,1.91,26.13,4.38,9.40,5.00,3.62,6.61,2.99,2.80,4.97,,37.2,10.5,25.6,,76.51,42.73,60038,
Iowa,2021,1.34,41.33,70.89,17.79,123.2,2.65,37.05,40.61,9.6,32.35,10.61,7.1,70.65,465.2,,13.29,149.00,645.90,135.70,237.40,60.28,168.20,336.80,34.94,97.83,58.57,21.42,181.20,2141.00,,9.94,3.61,9.11,7.63,1.93,22.76,4.54,8.29,3.84,3.02,5.52,3.02,2.56,4.60,,34.3,9.9,22.6,184.9,79.36,45.76,58044,14.6
Iowa,2022,1.3,40.09,69.87,17.61,125.1,2.4,35.72,40.76,8.6,35.55,10.47,6.81,72.57,466.9,,13.21,157.10,694.10,147.90,255.30,60.90,183.20,368.40,33.67,109.80,59.03,22.07,202.40,2307.00,,10.15,3.92,9.94,8.40,2.04,25.33,5.13,9.04,4.43,3.09,5.64,3.24,2.79,4.94,,34.3,9.0,26.1,176.8,78.74,47.13,58329,14.7
Iowa,2023,1.29,41.19,70.74,17.71,124.7,2.52,35.83,41.19,9.07,37.16,10.48,7.47,70.89,470.2,,13.52,164.70,716.70,153.80,265.40,65.18,188.90,383.60,36.09,118.90,61.25,23.87,208.40,2400.00,,10.51,4.00,10.13,8.68,2.13,25.90,5.27,9.31,4.50,3.20,5.85,3.20,2.94,5.11,,37.2,8.9,22.7,,78.74,48.57,60038,
Kansas,2021,1.42,42.22,72.43,16.1,113.1,2.68,38.26,41.1,9.84,34.3,11.25,8.05,71.58,462.4,,13.75,146.60,635.10,119.40,213.00,62.35,170.50,348.40,33.73,101.20,60.61,23.17,189.6,2117,,9.70,3.47,8.77,7.41,1.88,23.26,4.46,8.48,4.51,2.95,5.39,2.88,2.65,4.58,,33.0,10.5,23.9,176.1,78.45,45.799,58568,15.6
Kansas,2022,1.38,41.45,72.24,15.94,112.3,2.45,36.76,41.52,8.88,37.61,11.07,7.55,71.82,460.9,,14.05,156.80,693.10,130.20,232.30,62.11,183.30,375.80,34.88,116.80,62.79,24.12,203.7,2290,,10.20,3.78,9.59,8.17,2.07,25.37,4.99,9.05,4.83,3.11,5.67,3.19,2.84,4.97,,35.6,9.7,26.7,173.2,77.81,46.89,60238,14.5
Kansas,2023,1.37,42.39,72.8,16.04,113.8,2.59,36.9,42.42,9.45,39.43,11.12,8.31,71.25,467.8,,14.34,164.30,715.00,134.50,241.30,66.59,188.70,391.80,37.28,126.10,64.95,26.2,208.5,2380,,10.50,3.88,9.82,8.39,2.12,25.69,5.12,9.24,4.85,3.20,5.84,3.16,2.93,5.09,,35.8,9.9,21.4,,77.81,48.52,62351,
Kentucky,2021,1.52,43.53,74.68,17.92,123.9,2.85,41.4,43.64,10.93,36.78,12.07,11.03,76,496.3,,16.10,150.80,653.70,122.30,199.70,67.91,151.20,379.40,34.08,118.5,70.96,27.82,181.9,2174,,10.59,3.47,8.75,6.83,1.61,23.86,3.65,8.70,3.93,3.22,5.88,2.52,2.39,4.38,,34.6,12.7,28.7,217.5,75.63,37.61,51549,19.6
Kentucky,2022,1.49,42.28,73.69,17.49,123.4,2.6,39.51,44.04,9.6,40.56,11.94,10.31,77.24,494.2,,16.50,162.00,716.00,126.00,220.10,66.52,160.00,402.40,34.73,137.1,73.72,28.19,194,2337,,11.11,3.83,9.72,7.20,1.78,25.61,4.05,9.14,4.15,3.38,6.17,2.74,2.51,4.73,,36.4,11.7,31.6,208.6,75.08,39.21,60433,17.4
Kentucky,2023,1.47,43.41,74.55,17.75,124.7,2.75,39.62,44.95,10.31,42.55,12,11.34,76.22,501.6,,16.92,170.50,742.30,131.40,230.30,71.88,164.00,423.00,37.56,148.8,76.67,30.65,200.6,2445,,11.49,3.93,9.96,7.40,1.85,26.17,4.14,9.41,4.22,3.50,6.39,2.70,2.63,4.87,,37.0,11.4,29.3,,75.08,40.46,63732,
Louisiana,2021,1.84,46.47,79.72,16.83,93.07,3.17,49.67,48.6,15.52,44.46,14.59,12.42,62.94,489.3,,19.72,159.90,693.20,118.90,179.00,78.16,157.50,436.70,42.28,145.20,86.93,32.24,192.40,2342.00,,10.73,3.44,8.70,7.07,1.92,24.66,3.17,8.99,4.30,3.27,5.96,2.60,3.06,4.79,,36.3,13.0,28,235.5,76.14,34.03,54531,19.5
Louisiana,2022,1.78,44.88,78.22,16.58,92.12,2.87,49.02,48.63,13.62,48.57,14.3,11.62,63.27,485.5,,20.80,165.30,730.30,123.10,190.00,80.98,174.40,489.90,43.86,172.90,92.94,33.04,205.00,2523.00,,11.70,3.68,9.34,7.43,2.06,28.24,3.56,10.07,4.63,3.56,6.50,2.84,3.24,5.20,,36.2,11.3,31.5,224,75.22,35.8,54527,16.7
Louisiana,2023,1.76,45.28,77.75,16.54,92.1,3.01,49.3,49.24,14.36,50.88,14.35,12.6,62.78,490,,21.01,170.60,742.60,126.80,194.10,86.40,178.80,508.50,46.43,184.80,95.18,34.72,207.10,2597.00,,11.93,3.77,9.55,7.67,2.11,28.71,3.63,10.33,4.61,3.63,6.63,2.76,3.30,5.30,,38.3,12.7,28.2,,75.22,46.12,57100,
Maine,2021,1.1,47.51,81.49,15.79,123,2.82,39.07,43.23,11.1,26.5,8.69,9.19,72.06,481.6,,13.41,212.80,922.20,127.70,299.70,78.59,230.40,439.10,52.27,98.73,59.11,29.67,270.30,2834.00,,12.24,4.48,11.32,8.09,2.44,27.87,5.90,10.16,2.48,3.73,6.80,3.23,3.75,5.89,,29.8,10.4,20.8,168.4,78.69,46.25,58621,15.6
Maine,2022,1.07,45.64,79.55,15.67,122.4,2.57,39.08,43.63,9.96,29.28,8.62,8.68,72.78,478.9,,14.21,211.60,935.00,132.80,315.00,76.16,241.80,460.80,49.49,118.10,63.50,30.46,285.20,2934.00,,13.25,4.64,11.75,8.47,2.57,29.60,6.19,10.56,2.89,4.03,7.37,3.51,3.92,6.13,,31.4,8.7,29.5,132.3,78.56,48.08,60425,15
Maine,2023,1.08,47.75,82.01,16.01,125.2,2.76,39.61,45.2,10.78,31.05,8.75,9.73,74.31,494.2,,14.86,226.30,985.00,139.60,331.30,83.27,254.50,490.00,53.90,130.70,67.33,33.71,299.10,3110.00,,13.83,4.74,12.01,8.72,2.65,30.15,6.43,10.84,2.89,4.21,7.69,3.46,4.03,6.29,,31.3,8.2,19.7,,78.56,49.05,63117,
Maryland,2021,1.33,37.24,63.89,13.27,86.57,2.64,44.81,40.42,9.69,32.12,10.54,8.05,52.26,402.8,,15.63,155.80,675.40,105.80,202.10,71.18,210.60,397.70,37.21,115.10,68.89,25.92,200.30,2282.00,,11.77,4.18,10.57,7.97,2.34,27.00,4.70,9.84,3.37,3.58,6.54,3.22,3.83,5.66,,31.6,11.1,21.9,165.2,79.22,50.42,69047,10.1
Maryland,2022,1.28,35.94,62.64,13.29,84.99,2.38,45.55,40.41,8.54,34.88,10.27,7.54,51.46,399.2,,16.26,156.60,692.20,116.20,207.30,72.30,221.50,437.40,37.86,135.20,72.68,26.70,211.90,2404.00,,12.74,4.36,11.05,8.74,2.44,30.34,4.86,10.82,3.86,3.88,7.08,3.54,4.12,6.02,,32.0,9.8,23,155.8,78.58,51.9,70236,9.6
Maryland,2023,1.27,36.81,63.22,13.37,86.36,2.55,45.31,41.71,9.16,36.74,10.36,8.34,51.83,407,,16.76,165.20,719.00,120.20,215.80,78.61,229.00,462.60,41.26,147.40,75.91,29.39,219.30,2521.00,,13.18,4.49,11.37,8.99,2.50,30.84,5.05,11.09,3.88,4.01,7.33,3.53,4.23,6.19,,30.9,9.1,20.6,,78.58,53.44,73849,
Massachusetts,2021,1.16,42.62,73.1,12.64,105.5,2.43,39.91,37.32,9.74,27.96,9.17,7.01,50.78,419.3,,13.21,181.40,786.00,104.30,254.80,62.00,216.60,346.40,43.97,97.25,58.22,24.53,203.80,2393.00,,11.43,4.26,10.75,8.24,2.42,25.47,5.43,9.28,3.67,3.48,6.35,3.50,4.01,5.71,,25.0,8.7,20,134,80.62,56.33,83434,10.6
Massachusetts,2022,1.14,40.91,71.31,12.53,103.9,2.03,39.72,34.49,8.7,31.06,9.14,6.6,49.95,411.5,,14.06,187.80,830.00,112.20,266.00,59.18,219.00,358.00,41.99,116.90,62.83,25.23,211.20,2505.00,,12.36,4.59,11.64,8.96,2.56,29.09,5.51,10.38,4.05,3.76,6.87,3.83,4.23,6.09,,25.4,7.4,26,132.3,80.19,57.08,84551,10.4
