State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
North Dakota,2023,1.61,51.46,88.38,19.56,150.3,3.06,41.38,49.99,11.05,46.46,13.1,9.19,86.69,572.3,,17.66,196.6,855.7,163.8,314.1,80.66,245.8,474.6,47.28,155.3,80,30.82,268.5,2931,,10.98,3.82,9.68,8.38,2.09,26.4,5.94,9.49,3.72,3.34,6.11,3.36,3.1,5.12,,33.6,9.3,24.6,,78.77,51.35,73341,
Ohio,2021,1.31,36.53,62.66,14.71,105.9,2.39,37.24,36.67,8.71,31.59,10.37,7.09,57.3,412.5,,13.67,138.2,598.9,107.8,196.8,60.48,154.3,337.9,32.23,100.6,60.25,20.8,171.5,1993,,10.47,3.78,9.56,7.33,1.86,25.29,4.14,9.22,2.97,3.19,5.81,2.93,2.99,4.83,,33.5,12.2,26.1,204.7,76.98,41.63,57022,18
Ohio,2022,1.27,35.73,62.27,14.51,107.5,2.21,35.93,37.55,7.83,34.59,10.18,6.76,57.89,414.2,,14.32,149.6,661.2,112.7,215.5,60.19,164.1,364.2,32.87,119.1,64.01,21.6,186.5,2166,,11.31,4.19,10.62,7.77,2.01,27.18,4.57,9.7,3.46,3.44,6.29,3.2,3.22,5.23,,34.6,10.3,27.6,193.9,76.52,43.23,57759,17.1
Ohio,2023,1.25,36.49,62.67,14.58,108.1,2.33,35.73,38.13,8.29,35.96,10.14,7.42,57.32,418.4,,14.6,156.7,681.9,116.6,224.5,64.64,167.9,380.4,35.34,128.4,66.16,23.17,191.4,2252,,11.73,4.29,10.88,7.99,2.08,27.74,4.7,9.98,3.48,3.57,6.53,3.12,3.34,5.38,,35.8,10.9,23.5,,76.52,42.82,60402,
Oklahoma,2021,1.59,39.32,67.45,16.17,98.92,2.59,38.79,39.72,10.46,38.54,12.65,10.21,64.75,441.1,,15.4,137,593.9,117.5,194.2,60.86,143.6,340,33.23,113.4,67.9,28.25,165.3,2011,,9.67,3.49,8.81,7.27,1.96,23.49,3.7,8.56,4,2.94,5.37,2.77,2.55,4.56,,34.5,12.3,27.8,264.2,76.05,36.05,55159,16.9
Oklahoma,2022,1.54,38.83,67.67,16.06,98.67,2.39,39.32,40.55,9.52,41.97,12.36,9.65,65.85,444.4,,16.7,146.5,647.2,129.6,212,62.13,159.2,375.9,34.89,138.9,74.65,29.05,187.6,2214,,10.87,3.77,9.57,8.07,2.15,25.98,4.05,9.27,4.18,3.31,6.04,3.01,2.85,4.98,,37.1,11.0,33.4,257.1,75.54,37.49,56306,15.6
Oklahoma,2023,1.53,39.2,67.32,16.05,98.87,2.49,39.38,40.68,10.02,44.06,12.42,10.5,64.82,447.3,,16.82,150.6,655.5,132.8,216.7,65.76,161.5,387,36.72,147.9,76.19,30.86,189.3,2268,,11.03,3.84,9.74,8.28,2.19,26.45,4.1,9.51,4.15,3.36,6.13,2.94,2.92,5.07,,37.1,11.8,27.9,,75.54,38.65,58499,
Oregon,2021,1.06,35.28,60.52,12.96,100.7,2.29,30.81,35.14,6.1,25.74,8.45,5.13,56.76,381,,12.4,142.6,617.8,101.5,222,55.54,197,310.4,30.71,91.29,54.66,19.59,208.1,2063,,11.66,4.04,10.21,7.83,2.2,24.24,6.39,8.83,5.29,3.55,6.47,3.82,3.67,5.42,,29.3,9.7,17.3,148.5,79.88,45.22,61643,12.4
Oregon,2022,1.03,33.75,58.82,12.61,99.76,2.06,29.77,34.88,5.54,28.04,8.26,4.68,54.84,374,,13.11,145.1,641,105.3,237.3,54.49,203.8,329.7,28.91,109,58.59,19.95,219,2165,,12.77,4.3,10.9,8.35,2.38,26.49,6.85,9.45,5.47,3.89,7.1,4.27,3.99,5.79,,28.8,7.5,23.5,145.4,79.7,46.57,62314,12.4
Oregon,2023,1.02,34.93,59.99,12.85,101.5,2.2,30.01,36.01,5.97,29.58,8.34,5.22,56.3,384,,13.62,154.5,672.5,110.1,249.2,59.42,212.8,349.7,31.34,119.8,61.7,22.17,229.3,2286,,13.3,4.42,11.21,8.57,2.45,27.01,7.09,9.71,5.57,4.05,7.4,4.25,4.07,5.95,,28.3,8.4,17.6,,79.7,47.29,65426,
